seed,days,cycles
Z!P'N'W>}n,5,5
+3EwKsD.F-,5,1
@9$${f&gMX,5,1
h#4w@;O2iF,5,9
fH0j5hsAM^,5,6
"<Sd&V"")F77",5,6
-mL`tdmt3],5,1
"gW[PbqC,i}",5,1
=snt?S~2SL,5,1
(:gU{}HHa{,5,7
(ywC)[+0zf,5,7
J)|*c>D[ka,5,4
"MQpR""}C:uc",5,1
cF`<hy3+Nk,5,1
C0O6y3&0>m,5,1
"8EdUY""7dxV",5,1
YK6AP\Fx?=,5,1
/7'Z`I}zJ<,5,1
"ro""PYy[V+Z",5,3
n4=`\BT:FS,5,1
TXwkx|)KCv,5,1
+&-n:0<#7Y,5,3
$TM3]slU6D,5,1
"6NeB""?P#t#",5,2
"^W~.[""j+.a",5,1
99{m`|#E7:,5,1
;Tv{DX)H[],5,1
"$m"";wsI081",5,1
jAp[#>?%vw,5,1
lT@k5O<ZhR,5,1
U$*^MJu4B_,5,1
]prm9!d{yC,5,1
H#jm{s?QA{,5,1
"]MU2L%,>Ux",5,1
EsC/D~&Edm,5,5
cjpC~1koK:,5,1
jJNqHA^v:s,5,1
F8q|;XZ(bj,5,1
+H.V=$io/s,5,1
>&i$%iVOe!,5,7
Mnl%JlZ4V:,5,6
YLmNrAzVFK,5,1
6n9*M!-l;Q,5,1
4/f!6!fY3w,5,2
UPaPgVy/iw,5,2
avO%4McZYL,5,1
Mu8gIxSwQ},5,3
((sduY_Gs`,5,1
!cHpMe0bQ7,5,3
"H/4""B^_+KP",5,1
kBwsvBfcb@,5,1
z$9s%:&*+Y,5,1
"sBU4x{""M|n",5,1
~2uN#N5Z0p,5,2
!=(U?6]Oio,5,3
"KH,&,{V2_E",5,1
pT4mE)\5Ss,5,1
@-hn0jM{TJ,5,1
o?rP25U&Z{,5,1
jy'&%j~Py',5,1
x%<*MBJgCZ,5,2
s8yR306!i),5,1
~MOjhP&mTp,5,1
Z4gX7'_Yp_,5,3
QzM92fezv@,5,10
"j#G1i%$#!""",5,1
!L$;IIu$P:,5,1
Kr;NS-8>ld,5,1
HaN3c`K'?c,5,2
~vuk%)A@kl,5,1
"<,[TbE?B<z",5,4
U[9sa/9R(E,5,4
e'~nt~G?x1,5,1
_uUFaxRxXl,5,4
o9Tk@I&S9%,5,1
=/`%x~?{p+,5,1
"20Zl^[d""j8",5,1
"TKB2$q""t#4",5,1
4||&3b^zMv,5,2
D[Ch;]I1J;,5,1
iL].oSZumF,5,3
-!?$I=S?>{,5,2
{[7h(9Lb8N,5,1
OZrHx1^!4M,5,1
N*idKFGR/;,5,5
hIkmKIXwSr,5,6
",2*77``n#O",5,4
*d!J/9F<sz,5,1
|TW;7bxHQ{,5,1
r#vQ[fKa-u,5,1
2BGPt*h[%>,5,1
(jWGqF\U:G,5,13
~~RIL:iUlY,5,5
($UPki9Nfw,5,4
R6-C<N=wbm,5,1
V)+$W~(*0],5,1
