seed,days,cycles
lPT$gs)pT3,5,8
nku:F*4DOW,5,3
FiU!2eKWkJ,5,1
F+DCO`Q}]@,5,5
"CJe[,`Z(:]",5,5
1hq:D/0<R0,5,5
MCAPA%a#Gl,5,1
D0n{JAJ:$(,5,1
/d5L'[>]c&,5,1
"?^zde""5Jvl",5,1
"/""dYTE{a3U",5,1
)67\&P^^<S,5,3
"h2Vx`aA,{&",5,2
o4!_SWzi(M,5,1
*4R9zthAg#,5,1
"bl,#gx<or]",5,1
"wvB(}""V@9=",5,1
TmLmZ{lZHH,5,1
"!'SHM,+_$-",5,1
S5Za1I)J_D,5,12
f/sG*[AN#U,5,3
#{k{n*.9&z,5,1
p/?w#%%>ua,5,1
"b,Ksbh[lGA",5,1
]15N#+x=I>,5,2
$uVk^~.;Us,5,1
I=({dKMHNc,5,3
"<v7?ne@6,P",5,4
^xWNAV?4?a,5,1
#9OAgHM%zt,5,1
\mT3)[XFA>,5,2
GJk-f#pyGA,5,2
ur\(i'TUxi,5,1
"36,?b-KFBW",5,5
"jk@/A$l"")g",5,6
JrsW:$>=Rx,5,1
r(r|!E]m<R,5,1
_7ziJ7auh<,5,8
(6F8z^^w(F,5,11
)FGd+':a=),5,1
fO2PlF0RzK,5,2
nnsb06;UK;,5,1
~YV7zx)ahm,5,1
"cL&""H):YRg",5,7
wcIt7MnSWf,5,3
%mFt{;=z#j,5,1
"JQ//1POL""K",5,2
7{LjmslF4v,5,2
"FRlvuaT,T2",5,3
"P<;P7,wW^G",5,1
:krGZ+ZdlL,5,4
"r,fZTe#oG:",5,6
~3E|YfL776,5,2
*g{tF+_f];,5,2
RIoz7i_C0%,5,1
\3&b!NO\0F,5,7
O50!E]eQTM,5,1
5_%_c*0+y_,5,3
~p<SmZ{l/.,5,1
a@Et.2g(.<,5,1
g[k>&&L|W*,5,6
fx{Gp~u5t%,5,6
Hg2MBS$+ZQ,5,4
g@>oT]oYSQ,5,1
5Wx3+L/RnN,5,3
hgk\x^asG/,5,1
WV<$2fb/I`,5,1
"84qS:`Z""1F",5,1
H]n:v?p9[=,5,1
:PsJ%>g?Oq,5,1
Eu7@nK-*#Q,5,6
dCBJod[W#^,5,10
o&fUc8$|6m,5,1
}k6mcI?i02,5,5
uxwHnUCR?j,5,1
D8+}iu=>dH,5,1
k6UaUmv<M[,5,2
|!f\Ph'%rv,5,2
"/,eK8wS!.p",5,9
kStQ@9T?&a,5,2
EU{][+if>d,5,2
VZ&|fsNb-_,5,1
bYv/]m{)!',5,1
r)~D0JkxfN,5,1
)x<ep&`f`e,5,2
j~5tV`^3+Z,5,1
&`:?3;0%7b,5,1
{y>QXq[;8{,5,1
-5d;||<dH=,5,10
i#{euv2V`;,5,5
tq_TvWf~/n,5,1
hX.9>Qvw)J,5,10
<J3%-U{hYI,5,1
C!|IPw2${E,5,10
cr^N6|a[NG,5,12
k`erz.99HT,5,2
C5WC%eifZz,5,1
QbtB2;ds^K,5,7
eD6u?^OKjy,5,11
=q\2~'}v1&,5,2
/4Ab\f}{fp,5,1
D8o.N'7-<#,5,2
D7EtAdtG\v,5,4
"*P""OJEvMW>",5,1
zkaA\WN|!x,5,1
n@yyzu|Xl<,5,2
YE^yIA@E.l,5,11
9=H-D<hE%C,5,10
m*LV8DtDN@,5,4
'!w`T<kvGl,5,2
s=Z[W'j>FH,5,5
BDj'(7V9t0,5,2
-ZD=.yG6(Q,5,1
L)1!KCfkjv,5,13
VBG;^*ps\i,5,1
Kp)Kti(MIl,5,7
"oNJb/WLX,f",5,1
&leE5JBTY>,5,1
"p""F&[P/p>y",5,2
u)N80o=i59,5,1
C]s%vGJ>^y,5,1
CD'_C6.^B:,5,1
"jm:s:,*xp0",5,3
"I""kQ4+#tKq",5,6
"-IQ,Z|c/ty",5,1
c;6se!9U~E,5,2
{U/$EHi(\D,5,1
@:[l^N4H2A,5,2
"c8WosB,Wq0",5,1
/S<Ob)Z$!P,5,1
"V,{M$?eQHY",5,1
JVz+%;j#-q,5,1
=V}Ax~E<zD,5,1
2%a:j&**Wh,5,3
S&ot\M<A^O,5,6
&9y;2RM'Y:,5,6
DC{2(wu/Cg,5,1
j]W[.]SN^-,5,1
"tT;]Ld,=Yk",5,1
&?9W08i1ui,5,2
Np!g1V[:\e,5,2
Wz.O@M5O<G,5,1
