seed,days,cycles
bZm1$3B0X;,5,1
"IV|6P{""4AL",5,12
qmc.~D:?n4,5,7
L]^P&Bwt;V,5,12
$wE_E/Bmz4,5,1
XC6qfSrc{g,5,13
.)/;A?ak;R,5,1
@l|ycgnmlU,5,1
K0.H%g6r>b,5,2
'3}J=K':R!,5,1
whFbgR\YE>,5,1
"DHT`_!M""?u",5,10
"k78e^..Bh""",5,1
",(b#&i%o2g",5,3
Jgu4L'S`;R,5,5
_\ldlcM534,5,1
'vgsN)z;A;,5,1
t}lO+&eUWb,5,1
a*XL#+=f*},5,1
hsh^ukQ{QO,5,1
;7c/KI&HL5,5,4
yH0C`{%eLr,5,3
#AzF2DJk:F,5,12
"F@>Z,;{g>^",5,1
PzyV((vT*e,5,3
4bGh*Wo.2g,5,11
"r+*Hp]H,'*",5,4
AGT:0\F5Tf,5,9
+o><!`~9I0,5,1
iu1X6r^cZ2,5,1
%rMl+CQ~A2,5,1
JW&FbuH8]Z,5,12
s=c<X3=R(&,5,1
0z2a9)nE~?,5,1
5_)'ttneO2,5,1
;G[VDc[ZlL,5,1
$H>h;[Dcaa,5,1
Bjtx3zpsdH,5,2
86DTVT1x5+,5,1
:DMr/RdHqN,5,2
"(""dgyPFF#C",5,4
4o!w:tq6*E,5,1
"bc,\)Q;VNq",5,4
dR9;;b^r-F,5,3
hz1$SlX0l@,5,1
R3(bD8)Mqg,5,1
"P$.Z[**{Q""",5,11
"!nsP:X""s.v",5,1
"#b,z1FKLC,",5,1
'Gq`n#-X+r,5,9
@Jmx2t:-l&,5,1
mHT!VZq>9(,5,9
hX;t_5AV$\,5,6
;[-0yy#(>0,5,1
Yq[RAsi*(),5,2
*A.J.x~'9J,5,1
",'3jbn="":{",5,7
9(3;d|]6<\,5,1
PQQ4d%L_H7,5,1
7UI2vs}M\^,5,6
"*;o""aLPDE\",5,4
Y962|mPRfI,5,1
gv=\*;B`}E,5,5
b/=SrV#:!r,5,1
7'q$|yVtl6,5,5
'ZN}3L_mMJ,5,2
$g+p1BB1MN,5,1
Io$T!BQ6vt,5,8
*5#WzwY6kG,5,2
w6;k?|8vqm,5,1
ZUG.<[Hq)c,5,4
H(\}rrCf%;,5,1
Z2_Jt@Gnf.,5,1
nzY%a`-_9},5,4
Y$uY-F6hrb,5,3
"ZT):WC,BIF",5,3
"G%4yP\""bF}",5,10
xOu\#13'O~,5,7
)rv#w+t:ia,5,4
(I)K68P>(O,5,6
YOU?[ro9U-,5,2
"Dz?nYB-,2,",5,11
%V+3cPwhS=,5,1
}k5StPq!qj,5,1
SV5QW@KHc`,5,5
"""\tZv[K#I!",5,1
v5;b8Bqz@{,5,10
mu{Hd7@:;0,5,1
hNNR*Q_)(Y,5,7
"8B{Z""bqOm.",5,14
z/Qal=+tUp,5,1
"B!I,t.VpXL",5,1
".!sRr,ci$u",5,2
Q=+K>qa>Qh,5,1
N~DoNaf9Vy,5,3
"6z,G-iHL|b",5,11
OOsjzo>K!Y,5,6
"ZBlD""l#8G&",5,2
c:k_4t^nZ8,5,1
#/rZ'w<4#;,5,1
J`\QhETLSP,5,1
zPz&;':+Jw,5,3
U8RsKXEDnN,5,1
SzF*0hH`#],5,1
=b#gx[Aw0>,5,3
"wwMBFr_0,/",5,8
"w0}.9/J{""i",5,1
aqIm0|K5D&,5,3
en%E0/ZMYc,5,1
FnU%l|`*kD,5,1
*2O>VmK-9W,5,1
Sf$bM{giD(,5,2
C'I5f;Dikz,5,5
"/Al|z,G+uD",5,1
|8!XBt\$@u,5,2
ji&]RTWNFA,5,2
vuiqmpA9?1,5,1
!EyT1!Z}\|,5,4
'&e)Z@APjN,5,1
>s{#6Yh+[t,5,1
C2Jp2S)\$w,5,1
1l*^05Jn3+,5,1
32#Rivw{@q,5,3
2ofB[b1bS3,5,6
Ra>BHZeu8k,5,1
.5W@%sDZ%a,5,1
<q}Uu.LWs),5,10
LGr)A!`*cP,5,1
+DP(+ip8K=,5,1
IyIwSF8[;V,5,4
>~zT~!:fbT,5,1
g;A+^l_0kL,5,1
n]qY?;oaz^,5,7
<3GobEwAb<,5,1
)YnI6$uoF4,5,1
`6[Y:lGz.5,5,1
R+BcauT_h*,5,2
